ID_ALUNO;REGIAO;UF;SEXO;COR_RACA;IDADE;MORA_MAE;MORA_PAI;MERENDA;FOME;CIGARRO;ALCOOL;DROGAS
308;1;11;2;4;14;1;1;4;1;2;1;2
309;1;11;2;4;14;1;1;2;1;2;1;2
310;1;11;2;4;17;1;1;2;1;2;1;2
311;1;11;2;2;15;2;1;2;1;1;1;1
312;1;11;1;4;15;1;1;1;1;2;1;2
313;1;11;1;1;15;1;1;5;2;2;2;2
314;1;11;2;2;15;1;1;1;1;2;1;2
315;1;11;2;4;15;2;2;1;1;2;2;2
316;1;11;1;4;14;1;1;1;1;2;2;2
317;1;11;1;1;14;2;2;2;1;2;2;2
318;1;11;2;2;15;1;2;2;1;2;1;2
319;1;11;1;1;14;1;1;1;1;2;2;2
320;1;11;1;1;14;1;2;5;1;2;2;2
321;1;11;2;4;14;1;1;1;1;1;2;2
322;1;11;1;4;16;1;1;1;1;2;1;2
323;1;11;1;2;13;1;2;1;1;2;2;2
324;1;11;1;2;15;2;2;1;1;2;2;2
325;1;11;1;1;15;2;2;1;2;1;1;1
326;1;11;1;4;14;1;1;4;1;2;1;2
327;1;11;1;1;16;1;1;2;2;2;1;2
328;1;11;1;4;14;1;2;4;1;2;2;2
329;1;11;1;4;14;1;1;2;1;2;1;2
330;1;11;2;2;16;1;2;4;3;2;1;2
331;1;11;2;4;14;2;1;1;1;2;2;2
332;1;11;1;1;14;1;2;4;3;1;1;2
333;1;11;2;4;16;1;2;4;1;2;2;2
334;1;11;1;4;15;1;2;1;1;2;1;2
335;1;11;2;4;14;1;1;1;5;1;1;1
336;1;11;2;1;15;2;1;1;1;1;2;2
337;1;11;1;4;13;1;1;2;1;1;1;1
338;1;11;1;4;15;1;1;2;1;1;1;2
339;1;11;2;4;14;1;2;-1;3;2;2;2
340;1;11;1;2;16;1;1;5;3;2;2;2
341;1;11;2;1;14;1;1;5;1;2;1;2
342;1;11;2;1;15;1;1;4;1;2;2;2
343;1;11;1;4;15;1;2;2;1;2;2;2
344;1;11;2;1;14;1;2;4;5;2;1;2
345;1;11;2;4;15;1;2;5;1;2;1;1
346;1;11;2;4;14;1;1;1;3;2;2;2
347;1;11;2;4;15;1;2;1;1;2;2;2
348;1;11;2;4;16;1;2;4;1;1;1;1
349;1;11;2;3;19;1;1;5;1;2;2;2
350;1;11;2;4;13;1;1;3;1;2;2;2
351;1;11;1;1;14;1;1;4;1;2;2;2
352;1;11;2;4;13;1;1;4;1;1;1;1
353;1;11;2;4;13;1;1;4;3;2;2;2
354;1;11;2;4;14;1;1;4;1;2;1;2
355;1;11;2;2;16;1;2;5;1;2;2;1
356;1;11;1;4;17;1;2;-1;1;2;1;2
357;1;11;1;3;17;1;1;4;1;1;1;1
358;1;11;2;2;16;1;1;1;1;1;1;1
359;1;11;2;4;14;1;1;4;1;2;2;2
360;1;11;2;4;14;1;1;4;1;2;2;2
361;1;11;2;4;15;1;2;5;1;2;2;2
362;1;11;2;4;14;1;1;3;1;2;2;2
363;1;11;1;4;14;1;2;4;2;2;1;2
364;1;11;1;4;14;1;1;-1;3;2;2;1
365;1;11;1;4;15;1;2;2;2;1;1;2
366;1;11;1;1;16;1;1;5;1;1;1;1
367;1;11;2;1;14;1;1;5;1;2;2;2
368;1;11;2;4;14;2;2;5;1;2;1;2
369;1;11;2;4;15;1;1;4;1;2;2;2
370;1;11;2;4;14;1;1;2;2;1;1;1
371;1;11;1;1;14;1;1;-1;5;2;1;2
372;1;11;1;2;16;1;1;1;3;2;1;2
373;1;11;1;4;14;1;1;4;2;2;2;2
374;1;11;2;3;14;1;1;5;1;2;2;2
375;1;11;1;1;14;1;2;4;1;2;2;2
376;1;11;2;4;16;2;2;5;1;2;1;2
377;1;11;1;4;15;1;2;4;1;2;1;2
378;1;11;1;4;17;2;1;2;1;1;1;2
379;1;11;1;4;15;1;1;3;1;2;2;2
380;1;11;2;1;14;1;2;5;1;2;1;2
381;1;11;1;4;14;1;1;4;1;1;2;2
382;1;11;2;4;14;1;1;2;1;2;2;2
383;1;11;1;4;14;1;2;2;2;2;2;2
384;1;11;2;2;13;1;1;1;1;2;2;2
385;1;11;1;1;14;1;1;-1;1;1;2;2
386;1;11;2;4;14;1;1;4;1;1;1;2
387;1;11;2;4;17;1;1;4;2;1;1;1
388;1;11;1;2;15;1;1;-1;4;2;1;1
389;1;11;1;4;15;1;2;1;1;2;1;2
390;1;11;1;3;14;2;1;5;3;1;1;2
391;1;11;2;2;14;2;1;1;1;2;2;2
392;1;11;1;4;14;1;2;4;1;2;2;2
393;1;11;2;3;15;1;1;4;1;2;2;2
394;1;11;1;1;14;2;2;-1;1;2;2;2
395;1;11;1;1;15;1;1;4;1;2;2;2
396;1;11;1;2;17;2;1;4;1;1;1;1
397;1;11;2;4;14;1;2;5;1;2;2;2
398;1;11;1;4;15;1;1;2;1;2;1;2
399;1;11;2;4;15;2;2;-1;1;2;1;2
400;1;11;2;4;15;1;1;5;1;1;1;1
401;1;11;1;3;15;1;1;4;1;2;2;2
402;1;11;2;4;14;1;1;-1;3;1;1;2
403;1;11;2;4;16;1;1;5;1;2;1;2
404;1;11;1;2;16;1;1;5;1;1;2;1
405;1;11;2;4;15;2;2;1;1;1;1;1
406;1;11;2;5;16;2;1;2;1;1;1;1
407;1;11;2;2;14;1;1;5;2;1;1;1
408;1;11;1;1;16;1;2;5;1;2;2;2
409;1;11;1;4;15;2;2;1;1;2;2;2
410;1;11;1;2;14;1;1;4;2;2;2;2
411;1;11;1;3;16;1;2;1;1;1;1;1
412;1;11;2;2;15;1;2;5;1;2;2;2
413;1;11;1;4;16;1;2;2;3;1;2;2
414;1;11;1;4;17;1;1;4;1;2;1;2
415;1;11;2;4;16;1;2;1;1;2;1;2
416;1;11;1;1;14;2;1;5;1;2;1;2
417;1;11;2;1;16;1;1;1;1;2;1;2
418;1;11;1;4;16;2;2;1;1;2;2;2
419;1;11;1;4;15;1;2;5;1;2;2;2
420;1;11;1;4;14;1;2;5;1;2;1;2
421;1;11;2;4;16;1;1;1;2;2;1;2
422;1;11;1;4;15;1;2;3;1;2;2;2
423;1;11;2;3;13;2;2;-1;1;2;2;2
424;1;11;1;2;17;1;1;3;2;2;1;2
425;1;11;2;4;16;1;1;4;1;2;1;2
426;1;11;1;1;17;1;1;1;1;2;2;2
427;1;11;2;3;14;1;1;5;1;2;1;2
428;1;11;1;4;13;2;1;5;1;2;2;2
429;1;11;1;4;14;2;1;5;1;2;2;2
430;1;11;2;4;16;2;2;4;3;1;1;2
431;1;11;1;1;15;2;1;-1;1;2;2;2
432;1;11;1;4;17;1;1;4;2;2;2;2
433;1;11;2;2;14;1;2;5;1;1;1;1
434;1;11;1;4;15;1;2;2;3;2;2;2
435;1;11;2;4;14;1;1;-1;1;2;2;2
436;1;11;2;1;14;1;2;5;3;1;1;2
437;1;11;1;4;14;1;2;4;1;2;1;2
438;1;11;1;4;15;1;2;5;3;1;1;2
439;1;11;1;4;14;2;1;4;1;2;2;2
440;1;11;2;2;13;1;2;5;1;2;2;2
441;1;11;1;1;16;1;1;3;3;1;1;2
442;1;11;2;4;14;1;1;5;1;2;2;2
443;1;11;1;4;14;1;2;3;1;2;1;2
444;1;11;2;4;14;1;2;5;1;1;1;1
445;1;11;2;4;15;2;1;4;2;2;1;2
446;1;11;2;1;14;1;1;1;1;2;1;2
447;1;11;2;1;14;1;1;-1;1;2;1;2
448;1;11;1;2;17;1;1;5;1;1;1;2
449;1;11;1;2;15;1;1;-1;1;2;1;2
450;1;11;2;4;14;1;2;5;1;2;2;2
451;1;11;2;4;14;2;2;5;3;2;1;2
452;1;11;2;1;15;1;1;5;1;1;2;2
453;1;11;1;4;16;1;1;4;1;2;2;2
454;1;11;2;1;15;1;1;4;1;2;2;2
455;1;11;2;4;14;1;1;2;4;1;1;2
456;1;11;2;1;15;1;2;5;3;2;2;2
457;1;11;2;1;15;1;1;5;1;2;2;2
458;1;11;2;4;15;1;1;1;3;2;1;2
459;1;11;1;4;15;1;2;5;2;2;2;2
460;1;11;2;4;14;1;2;5;1;2;1;2
461;1;11;1;1;14;1;2;5;4;2;1;2
462;1;11;1;1;16;1;1;5;1;1;1;2
463;1;11;2;4;15;1;1;5;1;1;1;1
464;1;11;2;4;14;1;2;5;1;2;1;2
465;1;11;2;1;14;1;1;4;3;2;2;2
466;1;11;2;1;17;1;1;4;4;2;1;2
467;1;11;1;4;16;1;2;1;1;1;1;2
468;1;11;1;1;16;1;1;4;1;1;1;2
469;1;11;1;1;14;1;2;5;1;1;1;2
470;1;11;2;3;16;1;2;4;1;1;1;2
471;1;11;1;1;17;1;1;1;2;2;1;2
472;1;11;1;4;14;1;1;5;1;1;1;1
473;1;11;2;4;14;1;1;5;1;2;2;2
474;1;11;1;1;16;1;1;-1;3;2;1;2
475;1;11;1;1;15;1;2;5;1;2;1;2
476;1;11;1;1;16;1;2;5;1;2;2;2
477;1;11;2;4;14;1;1;4;1;2;1;2
478;1;11;1;1;14;1;1;-1;1;2;1;2
479;1;11;1;1;14;2;1;-1;4;2;2;2
480;1;11;2;4;13;1;2;2;2;2;1;2
481;1;11;2;1;13;1;1;3;1;2;1;2
482;1;11;2;4;13;1;2;-1;1;2;2;2
483;1;11;2;5;14;1;1;-1;4;2;1;2
484;1;11;2;1;14;1;1;4;3;2;1;2
485;1;11;2;4;13;1;1;-1;1;2;2;2
486;1;11;2;4;13;1;1;-1;1;2;2;2
487;1;11;2;1;13;1;1;-1;1;2;1;2
488;1;11;2;1;13;1;1;4;1;2;1;2
489;1;11;1;4;15;1;2;-1;1;2;2;2
490;1;11;2;4;14;1;1;-1;1;2;1;2
491;1;11;2;5;14;1;1;-1;1;1;1;2
492;1;11;2;4;14;1;2;-1;1;2;2;2
493;1;11;1;3;14;1;2;-1;1;2;2;2
494;1;11;2;1;14;1;2;-1;1;2;2;2
495;1;11;2;1;14;1;1;-1;1;2;2;2
496;1;11;2;1;14;1;1;-1;1;2;2;2
497;1;11;2;4;14;1;2;-1;1;2;2;2
498;1;11;1;1;15;2;1;-1;1;2;2;2
499;1;11;1;1;14;1;1;-1;2;1;1;2
500;1;11;2;4;14;1;2;-1;1;2;2;2
501;1;11;2;4;13;1;1;-1;1;2;1;2
502;1;11;2;4;14;1;1;-1;1;2;2;2
503;1;11;1;4;15;1;1;-1;1;2;1;2
504;1;11;2;1;14;1;2;-1;1;2;1;2
505;1;11;1;1;13;1;1;-1;1;2;2;2
506;1;11;1;4;14;2;2;-1;1;2;1;2
507;1;11;2;4;14;1;1;-1;1;2;2;2
508;1;11;2;4;14;1;2;4;1;2;1;2
509;1;11;2;1;14;1;1;-1;1;2;2;2
510;1;11;1;4;15;1;2;-1;2;1;1;2
511;1;11;2;1;14;1;1;-1;1;2;1;2
512;1;11;1;4;15;2;2;-1;1;2;1;1
513;1;11;1;4;14;2;1;-1;1;2;2;2
514;1;11;1;4;15;1;1;-1;3;2;1;2
515;1;11;2;4;13;1;1;-1;1;2;2;2
516;1;11;2;4;13;1;2;-1;1;2;2;2
517;1;11;1;4;16;1;1;-1;1;1;1;1
518;1;11;1;1;13;1;2;5;1;2;1;2
519;1;11;2;4;15;1;2;-1;1;1;1;1
